Source Country,2021,2022,2023,2024,Total,Grade,Calculated Total
Qatar,646.800007867813,1158.360006055832,11674.589974143506,12942.599996984005,26422.349985051154,A+,26422.349985051158
Romania,186.949999529123,715.179995191395,526.470000309944,280.560006015003,1709.160001045465,B,1709.1600010454652
Russia,2816.268145776721,1456.150016143918,8627.390035243036,3458.180027723312,16357.988224886985,C,16357.988224886987
Saudi Arabia,5010.819987292291,32352.62019404888,27508.19009221077,15678.47990334034,80550.11017689228,A,80550.11017689228
Serbia,54.300000816584,77.889999046326,118.100000572205,459.399996757507,709.689997192621,C,709.689997192622
Seychelles,46.600000143051,2.400000095367,64.700000047684,12.699999809265,126.400000095367,A,126.40000009536699
Singapore,27738.47632569805,22487.59000197112,32853.960136273425,47352.00603923015,130432.03250317278,A+,130432.03250317276
Slovakia,172.630001502037,3532.379999427795,698.610000548363,594.310000181198,4997.930001659392,B,4997.930001659393
Slovenia,27.999999603629,83.279999141693,249.850004906654,193.220001101494,554.35000475347,A,554.35000475347
South Africa,3156.15710750498,1627.790014144182,3315.989990279228,5105.329967770725,13205.267079699115,C,13205.267079699115
South Korea,33913.93997052252,85327.94989616632,42048.85000335805,65024.425195261836,226315.16506530874,A,226315.16506530874
Spain,21809.38951713018,28498.87801044929,28894.959927517917,28341.670033574104,107544.89748867147,B,107544.8974886715
Sweden,10469.222023554263,17942.850078915653,18710.069267223327,10207.740077786148,57329.88144747939,A+,57329.88144747939
Switzerland,14223.027474298722,21006.1568313783,35058.62550083807,31098.76653970778,101386.5763462229,A+,101386.57634622286
Thailand,1391.910008058548,780.699994802475,1687.260002126694,2176.870030164719,6036.740035152436,B,6036.740035152436
Trinidad & Tobago,2.200000047684,146.200000047684,5.899999856949,4.5,158.799999952316,B,158.799999952317
Tunisia,284.200003290176,111.400000452995,125.400001525879,60.700000047684,581.700005316734,C,581.700005316734
Turkey,3989.550594350715,3251.379989968837,6295.797983842045,14177.02000996843,27713.748578130027,C,27713.748578130027
UAE,17410.310025713443,89117.2200986582,70598.4499588302,71490.75702467561,248616.73710787747,A,248616.73710787744
Ukraine,38.430000095367,1007.090000929833,976.159997344017,3584.537098940462,5606.217097309679,D,5606.217097309679
United Kingdom,59248.98113273981,76966.19191355095,107943.10427379978,74177.79723072052,318336.0745508106,A,318336.0745508111
United States,259567.34801324471,227349.55112645606,200163.35235581064,226755.84198754095,913836.0934830522,B,913836.0934830524
Uruguay,284.700004577637,29.699999642372,61.299999713898,4.699999809265,380.400003743172,A,380.400003743172
Vietnam,2319.760000166893,4665.769988675117,3718.669992923737,2870.519998267293,13574.71998003304,B,13574.71998003304
