Country Name,Country Code,Year,Composite_Score,Grade,Continent
Albania,ALB,2021,0.4835265176792614,C,Europe
Algeria,DZA,2021,0.432169878200565,C,Africa
Angola,AGO,2021,0.3348368881550073,D,Africa
Antigua and Barbuda,ATG,2021,0.5103000741120144,B,North America
Argentina,ARG,2021,0.4702857641793696,C,South America
Armenia,ARM,2021,0.4510031029952854,C,Asia
Australia,AUS,2021,0.5986816522019814,A,Oceania
Austria,AUT,2021,0.6106690921442801,A,Europe
Azerbaijan,AZE,2021,0.4636289454629614,C,Asia
"Bahamas, The",BHS,2021,0.5583185742627265,B,North America
Bahrain,BHR,2021,0.5395545363294805,B,Asia
Bangladesh,BGD,2021,0.3628093902955043,D,Asia
Belarus,BLR,2021,0.4509797817447396,C,Europe
Belgium,BEL,2021,0.6122371217976184,A,Europe
Belize,BLZ,2021,0.4680154880220392,C,North America
Bolivia,BOL,2021,0.419173368384681,D,South America
Bosnia and Herzegovina,BIH,2021,0.4435377409746973,C,Europe
Botswana,BWA,2021,0.5221083289150197,B,Africa
Brazil,BRA,2021,0.4562009998570308,C,South America
Bulgaria,BGR,2021,0.5115810314380795,B,Europe
Burkina Faso,BFA,2021,0.2445925457882458,D,Africa
Burundi,BDI,2021,0.1856475126938365,D,Africa
Cabo Verde,CPV,2021,0.5170318907112502,B,Africa
Cambodia,KHM,2021,0.402203162168978,D,Asia
Cameroon,CMR,2021,0.3056998841031443,D,Africa
Canada,CAN,2021,0.606671141308635,A,North America
Chile,CHL,2021,0.5359854377954527,B,South America
China,CHN,2021,0.5006947210851157,B,Asia
Colombia,COL,2021,0.4419272328103641,C,South America
"Congo, Rep.",COG,2021,0.3110801030309846,D,Africa
Costa Rica,CRI,2021,0.5249102074841095,B,North America
Cote d'Ivoire,CIV,2021,0.3563253448408842,D,Africa
Croatia,HRV,2021,0.5555758368156641,B,Europe
Cyprus,CYP,2021,0.5626666430461473,B,Europe
Czechia,CZE,2021,0.5996170736423841,A,Europe
Denmark,DNK,2021,0.6706022976290823,A+,Europe
Dominican Republic,DOM,2021,0.4835856436473108,C,North America
Ecuador,ECU,2021,0.4406068003053026,C,South America
"Egypt, Arab Rep.",EGY,2021,0.3991323713911012,D,Africa
El Salvador,SLV,2021,0.4360708633532206,C,North America
Estonia,EST,2021,0.6051012935701342,A,Europe
Finland,FIN,2021,0.6289249318187535,A,Europe
France,FRA,2021,0.5675594795231728,A,Europe
"Gambia, The",GMB,2021,0.3824134855492234,D,Africa
Georgia,GEO,2021,0.4978416644718159,B,Asia
Germany,DEU,2021,0.6052955110110406,A,Europe
Ghana,GHA,2021,0.4391612431023685,C,Africa
Greece,GRC,2021,0.4998422221406609,B,Europe
Guatemala,GTM,2021,0.4044214413764367,D,North America
Guinea,GIN,2021,0.3255311279912221,D,Africa
Guyana,GUY,2021,0.46881708797346,C,South America
Honduras,HND,2021,0.3981819979983341,D,North America
"Hong Kong SAR, China",HKG,2021,0.7014832378256254,A+,Asia
Hungary,HUN,2021,0.5587147824325835,B,Europe
Iceland,ISL,2021,0.651933219004205,A+,Europe
India,IND,2021,0.4381279649551959,C,Asia
Indonesia,IDN,2021,0.4433547183928113,C,Asia
Iraq,IRQ,2021,0.3653103171855254,D,Asia
Ireland,IRL,2021,0.6935887965933045,A+,Europe
Israel,ISR,2021,0.5627962736943493,A,Asia
Italy,ITA,2021,0.530800121074264,B,Europe
Jamaica,JAM,2021,0.5031610917565356,B,North America
Japan,JPN,2021,0.6249705126222209,A,Asia
Jordan,JOR,2021,0.4889553785746576,B,Asia
Kazakhstan,KAZ,2021,0.4852250139114536,C,Asia
Kenya,KEN,2021,0.3478541496456516,D,Africa
"Korea, Rep.",KOR,2021,0.5979161960639248,A,Asia
Kuwait,KWT,2021,0.5606083588645925,B,Asia
Kyrgyz Republic,KGZ,2021,0.418839330718642,D,Asia
Latvia,LVA,2021,0.5673626690157016,A,Europe
Lebanon,LBN,2021,0.3954691509421687,D,Asia
Lithuania,LTU,2021,0.5835934071268173,A,Europe
Luxembourg,LUX,2021,0.7587906798335858,A+,Europe
"Macao SAR, China",MAC,2021,0.6658294421190483,A+,Asia
Madagascar,MDG,2021,0.2818384871238602,D,Africa
Malaysia,MYS,2021,0.5512441334242009,B,Asia
Malta,MLT,2021,0.6331997138210667,A+,Europe
Mauritania,MRT,2021,0.3206611502079957,D,Africa
Mauritius,MUS,2021,0.535625344589453,B,Africa
Mexico,MEX,2021,0.4305049029668257,C,North America
Moldova,MDA,2021,0.4556937244316584,C,Europe
Mongolia,MNG,2021,0.4774669110939315,C,Asia
Montenegro,MNE,2021,0.4981992050324857,B,Europe
Morocco,MAR,2021,0.4679214423694645,C,Africa
Mozambique,MOZ,2021,0.2625673683755142,D,Africa
Namibia,NAM,2021,0.4300202528412887,C,Africa
Nepal,NPL,2021,0.3820379051639728,D,Asia
Netherlands,NLD,2021,0.6516263584718691,A+,Europe
New Zealand,NZL,2021,0.6156818372037999,A,Oceania
Nicaragua,NIC,2021,0.383525704863098,D,North America
Nigeria,NGA,2021,0.2804191543602072,D,Africa
North Macedonia,MKD,2021,0.4922537486902533,B,Europe
Norway,NOR,2021,0.672440765126531,A+,Europe
Oman,OMN,2021,0.5185014808422319,B,Asia
Pakistan,PAK,2021,0.319843472480553,D,Asia
Panama,PAN,2021,0.4914174595424745,B,North America
Papua New Guinea,PNG,2021,0.2872678343440966,D,Oceania
Paraguay,PRY,2021,0.4463522812210481,C,South America
Peru,PER,2021,0.4626248713651982,C,South America
Philippines,PHL,2021,0.4359867292051714,C,Asia
Poland,POL,2021,0.5433102420535605,B,Europe
Portugal,PRT,2021,0.5624531344951108,B,Europe
Qatar,QAT,2021,0.6421221223582926,A+,Asia
Romania,ROU,2021,0.5066771024822312,B,Europe
Russian Federation,RUS,2021,0.4881960405944584,B,Europe
Rwanda,RWA,2021,0.388832039166662,D,Africa
Samoa,WSM,2021,0.4952307902109595,B,Oceania
Saudi Arabia,SAU,2021,0.5845201775001384,A,Asia
Serbia,SRB,2021,0.4866503464793819,C,Europe
Seychelles,SYC,2021,0.5885807746403752,A,Africa
Singapore,SGP,2021,0.7938191000152574,A+,Asia
Slovak Republic,SVK,2021,0.5505683836116738,B,Europe
Slovenia,SVN,2021,0.58725034936141,A,Europe
Solomon Islands,SLB,2021,0.4266595161437592,D,Oceania
South Africa,ZAF,2021,0.439563972745718,C,Africa
Spain,ESP,2021,0.5547645757711012,B,Europe
Sri Lanka,LKA,2021,0.405184791576579,D,Asia
Suriname,SUR,2021,0.4697430310752568,C,South America
Sweden,SWE,2021,0.6379533364431729,A+,Europe
Switzerland,CHE,2021,0.7224067819465526,A+,Europe
Thailand,THA,2021,0.4871920536287548,C,Asia
Timor-Leste,TLS,2021,0.4625616887274543,C,Asia
Trinidad and Tobago,TTO,2021,0.5150314033583736,B,North America
Tunisia,TUN,2021,0.4373864145619968,C,Africa
Turkiye,TUR,2021,0.4474756530432405,C,Asia
Uganda,UGA,2021,0.2831782775142182,D,Africa
Ukraine,UKR,2021,0.4148587770524073,D,Europe
United Arab Emirates,ARE,2021,0.6456489386507794,A+,Asia
United Kingdom,GBR,2021,0.5858184457214417,A,Europe
United States,USA,2021,0.5526807897309448,B,North America
Uruguay,URY,2021,0.5885074419855725,A,South America
Uzbekistan,UZB,2021,0.4674224826202374,C,Asia
Viet Nam,VNM,2021,0.4926076033642746,B,Asia
West Bank and Gaza,PSE,2021,0.3684894766867986,D,Asia
Zambia,ZMB,2021,0.3505361769513481,D,Africa
Zimbabwe,ZWE,2021,0.2764475249553612,D,Africa
Albania,ALB,2022,0.4860814505556414,C,Europe
Algeria,DZA,2022,0.4661109195792126,C,Africa
Angola,AGO,2022,0.3354759505477245,D,Africa
Antigua and Barbuda,ATG,2022,0.5187554167795816,B,North America
Argentina,ARG,2022,0.4611319686552132,C,South America
Armenia,ARM,2022,0.4623472688795604,C,Asia
Australia,AUS,2022,0.6109271883319296,A,Oceania
Austria,AUT,2022,0.6077762773166113,A,Europe
Azerbaijan,AZE,2022,0.4641427961961375,C,Asia
"Bahamas, The",BHS,2022,0.569402198002021,A,North America
Bahrain,BHR,2022,0.5563530234849747,B,Asia
Bangladesh,BGD,2022,0.3560389776854913,D,Asia
Belarus,BLR,2022,0.4335524002606169,C,Europe
Belgium,BEL,2022,0.6179978480598664,A,Europe
Belize,BLZ,2022,0.4779392666121975,C,North America
Bolivia,BOL,2022,0.4219580740390407,C,South America
Bosnia and Herzegovina,BIH,2022,0.4375712406890984,C,Europe
Botswana,BWA,2022,0.520557557420455,B,Africa
Brazil,BRA,2022,0.4443180294597463,C,South America
Bulgaria,BGR,2022,0.5111319723399101,B,Europe
Burkina Faso,BFA,2022,0.2280033973818375,D,Africa
Burundi,BDI,2022,0.182452784449599,D,Africa
Cabo Verde,CPV,2022,0.5363751352593688,B,Africa
Cambodia,KHM,2022,0.4224370484592662,C,Asia
Cameroon,CMR,2022,0.3149527497819996,D,Africa
Canada,CAN,2022,0.6040464607666676,A,North America
Chile,CHL,2022,0.5254620929517959,B,South America
China,CHN,2022,0.4914976660479418,B,Asia
Colombia,COL,2022,0.4462108079032845,C,South America
"Congo, Rep.",COG,2022,0.3173200275615725,D,Africa
Costa Rica,CRI,2022,0.5236131734545767,B,North America
Cote d'Ivoire,CIV,2022,0.3658223636735142,D,Africa
Croatia,HRV,2022,0.555854851894867,B,Europe
Cyprus,CYP,2022,0.570851070103485,A,Europe
Czechia,CZE,2022,0.590515843237019,A,Europe
Denmark,DNK,2022,0.6754844555519524,A+,Europe
Dominican Republic,DOM,2022,0.4713936643746669,C,North America
Ecuador,ECU,2022,0.4322243985670042,C,South America
"Egypt, Arab Rep.",EGY,2022,0.4051791392680606,D,Africa
El Salvador,SLV,2022,0.4208064384957604,D,North America
Estonia,EST,2022,0.6016499599924595,A,Europe
Finland,FIN,2022,0.6249488100978776,A+,Europe
France,FRA,2022,0.5653229362297016,B,Europe
"Gambia, The",GMB,2022,0.3865191648479058,D,Africa
Georgia,GEO,2022,0.5067444512112399,B,Asia
Germany,DEU,2022,0.6033098521363581,A,Europe
Ghana,GHA,2022,0.4273663154141822,C,Africa
Greece,GRC,2022,0.5026112785503695,B,Europe
Guatemala,GTM,2022,0.4023053768213121,D,North America
Guinea,GIN,2022,0.3175523248098726,D,Africa
Guyana,GUY,2022,0.5527498614558403,B,South America
Honduras,HND,2022,0.3945558261675446,D,North America
"Hong Kong SAR, China",HKG,2022,0.6990178174055407,A+,Asia
Hungary,HUN,2022,0.5516230579704746,B,Europe
Iceland,ISL,2022,0.6484432816193145,A+,Europe
India,IND,2022,0.4406318736084229,C,Asia
Indonesia,IDN,2022,0.448918246555067,C,Asia
Iraq,IRQ,2022,0.3986243606763793,D,Asia
Ireland,IRL,2022,0.6983273679063629,A+,Europe
Israel,ISR,2022,0.5501852045101492,B,Asia
Italy,ITA,2022,0.5375228979108765,B,Europe
Jamaica,JAM,2022,0.5075502816721315,B,North America
Japan,JPN,2022,0.6232518958749171,A,Asia
Jordan,JOR,2022,0.4937103311746035,B,Asia
Kazakhstan,KAZ,2022,0.4862213861697954,C,Asia
Kenya,KEN,2022,0.3460875679069842,D,Africa
"Korea, Rep.",KOR,2022,0.592468042564193,A,Asia
Kuwait,KWT,2022,0.582211828584196,A,Asia
Kyrgyz Republic,KGZ,2022,0.3997499804434966,D,Asia
Latvia,LVA,2022,0.5550273919951546,B,Europe
Lebanon,LBN,2022,0.3795679142059828,D,Asia
Lithuania,LTU,2022,0.5739773822570824,A,Europe
Luxembourg,LUX,2022,0.7219726499239257,A+,Europe
"Macao SAR, China",MAC,2022,0.6313104185868512,A+,Asia
Madagascar,MDG,2022,0.2869430952715269,D,Africa
Malaysia,MYS,2022,0.5657272875123011,B,Asia
Malta,MLT,2022,0.607155075028997,A,Europe
Mauritania,MRT,2022,0.3347964633728468,D,Africa
Mauritius,MUS,2022,0.5430406531615594,B,Africa
Mexico,MEX,2022,0.432170485577368,C,North America
Moldova,MDA,2022,0.4301860108057165,C,Europe
Mongolia,MNG,2022,0.4778987441274428,C,Asia
Montenegro,MNE,2022,0.4938956810069628,B,Europe
Morocco,MAR,2022,0.467397024800986,C,Africa
Mozambique,MOZ,2022,0.2602205764884553,D,Africa
Namibia,NAM,2022,0.4370118033013591,C,Africa
Nepal,NPL,2022,0.3991414255992397,D,Asia
Netherlands,NLD,2022,0.6478970164437207,A+,Europe
New Zealand,NZL,2022,0.612972645818417,A,Oceania
Nicaragua,NIC,2022,0.3792496647198711,D,North America
Nigeria,NGA,2022,0.2801205777164721,D,Africa
North Macedonia,MKD,2022,0.5002487247127868,B,Europe
Norway,NOR,2022,0.6936662032836466,A+,Europe
Oman,OMN,2022,0.538486931102932,B,Asia
Pakistan,PAK,2022,0.3073166916089628,D,Asia
Panama,PAN,2022,0.4804673279487519,C,North America
Papua New Guinea,PNG,2022,0.3020891140176157,D,Oceania
Paraguay,PRY,2022,0.4362378111108546,C,South America
Peru,PER,2022,0.4383038235509895,C,South America
Philippines,PHL,2022,0.4460392716430982,C,Asia
Poland,POL,2022,0.5456334272333367,B,Europe
Portugal,PRT,2022,0.5666707377966054,B,Europe
Qatar,QAT,2022,0.6608396619879652,A+,Asia
Romania,ROU,2022,0.5093695852904042,B,Europe
Russian Federation,RUS,2022,0.4639828758902053,C,Europe
Rwanda,RWA,2022,0.3910132221303716,D,Africa
Samoa,WSM,2022,0.4963727087464137,B,Oceania
Saudi Arabia,SAU,2022,0.5963330674910732,A,Asia
Serbia,SRB,2022,0.4850189496840888,C,Europe
Seychelles,SYC,2022,0.5988577895841307,A,Africa
Singapore,SGP,2022,0.7811758006070766,A+,Asia
Slovak Republic,SVK,2022,0.5406170033746601,B,Europe
Slovenia,SVN,2022,0.5851408935741604,A,Europe
Solomon Islands,SLB,2022,0.4130358002650999,D,Oceania
South Africa,ZAF,2022,0.4273019488513919,C,Africa
Spain,ESP,2022,0.5536237704860685,B,Europe
Sri Lanka,LKA,2022,0.3740659581788857,D,Asia
Suriname,SUR,2022,0.4731592291590721,C,South America
Sweden,SWE,2022,0.6328586568487093,A+,Europe
Switzerland,CHE,2022,0.7201900836694237,A+,Europe
Thailand,THA,2022,0.4915904648968458,B,Asia
Timor-Leste,TLS,2022,0.4108795898820636,D,Asia
Trinidad and Tobago,TTO,2022,0.5160004902966655,B,North America
Tunisia,TUN,2022,0.4392646052385169,C,Africa
Turkiye,TUR,2022,0.4416711648674917,C,Asia
Uganda,UGA,2022,0.2864460264798797,D,Africa
Ukraine,UKR,2022,0.3675687622012888,D,Europe
United Arab Emirates,ARE,2022,0.6585048767447823,A+,Asia
United Kingdom,GBR,2022,0.5866840250880705,A,Europe
United States,USA,2022,0.5542046838979677,B,North America
Uruguay,URY,2022,0.5867094694119327,A,South America
Uzbekistan,UZB,2022,0.4679002063923584,C,Asia
Viet Nam,VNM,2022,0.5007151116557683,B,Asia
West Bank and Gaza,PSE,2022,0.3754747172622213,D,Asia
Zambia,ZMB,2022,0.3536142263258506,D,Africa
Zimbabwe,ZWE,2022,0.2809007110584713,D,Africa
Albania,ALB,2023,0.4993935257129693,B,Europe
Algeria,DZA,2023,0.4644562591258735,C,Africa
Angola,AGO,2023,0.3459432976602424,D,Africa
Antigua and Barbuda,ATG,2023,0.5311008635739113,B,North America
Argentina,ARG,2023,0.438937857127483,C,South America
Armenia,ARM,2023,0.4618050525694939,C,Asia
Australia,AUS,2023,0.6130258477022708,A,Oceania
Austria,AUT,2023,0.5987814872199423,A,Europe
Azerbaijan,AZE,2023,0.4547673806664727,C,Asia
"Bahamas, The",BHS,2023,0.5629027422153571,A,North America
Bahrain,BHR,2023,0.548673471133967,B,Asia
Bangladesh,BGD,2023,0.3609015502541621,D,Asia
Belarus,BLR,2023,0.4419874441374584,C,Europe
Belgium,BEL,2023,0.5967649707047596,A,Europe
Belize,BLZ,2023,0.4765618406735759,C,North America
Bolivia,BOL,2023,0.4084971757982247,D,South America
Bosnia and Herzegovina,BIH,2023,0.4490223798220081,C,Europe
Botswana,BWA,2023,0.5216173355194816,B,Africa
Brazil,BRA,2023,0.4530047335797321,C,South America
Bulgaria,BGR,2023,0.5230778715687907,B,Europe
Burkina Faso,BFA,2023,0.2328178270906517,D,Africa
Burundi,BDI,2023,0.1806151005153436,D,Africa
Cabo Verde,CPV,2023,0.5298194401208077,B,Africa
Cambodia,KHM,2023,0.4481117198278068,C,Asia
Cameroon,CMR,2023,0.310604315799751,D,Africa
Canada,CAN,2023,0.6025275588944772,A,North America
Chile,CHL,2023,0.5337790787391139,B,South America
China,CHN,2023,0.5001855227943062,B,Asia
Colombia,COL,2023,0.4428501091075623,C,South America
"Congo, Rep.",COG,2023,0.3188461188838993,D,Africa
Costa Rica,CRI,2023,0.5410070918585397,B,North America
Cote d'Ivoire,CIV,2023,0.364428243255862,D,Africa
Croatia,HRV,2023,0.5355645558785198,B,Europe
Cyprus,CYP,2023,0.5570259749956891,B,Europe
Czechia,CZE,2023,0.5989068837586267,A,Europe
Denmark,DNK,2023,0.67409503638954,A+,Europe
Dominican Republic,DOM,2023,0.4802790023071301,C,North America
Ecuador,ECU,2023,0.4215221384220689,C,South America
"Egypt, Arab Rep.",EGY,2023,0.4113343066139536,D,Africa
El Salvador,SLV,2023,0.4474484583090236,C,North America
Estonia,EST,2023,0.5931101048056364,A,Europe
Finland,FIN,2023,0.6152879912836565,A,Europe
France,FRA,2023,0.5606511915838074,B,Europe
"Gambia, The",GMB,2023,0.3753215670993192,D,Africa
Georgia,GEO,2023,0.5114816378063941,B,Asia
Germany,DEU,2023,0.5959529126733343,A,Europe
Ghana,GHA,2023,0.4372342999937053,C,Africa
Greece,GRC,2023,0.4997107171334582,B,Europe
Guatemala,GTM,2023,0.4072111505468085,D,North America
Guinea,GIN,2023,0.3143983489281757,D,Africa
Guyana,GUY,2023,0.5290808375633712,B,South America
Honduras,HND,2023,0.3966862981521005,D,North America
"Hong Kong SAR, China",HKG,2023,0.7001158245174756,A+,Asia
Hungary,HUN,2023,0.5457074644345188,B,Europe
Iceland,ISL,2023,0.6453893704919198,A+,Europe
India,IND,2023,0.4464308980864166,C,Asia
Indonesia,IDN,2023,0.4582889547369555,C,Asia
Iraq,IRQ,2023,0.3790236409386899,D,Asia
Ireland,IRL,2023,0.6764857846714665,A+,Europe
Israel,ISR,2023,0.538532545310404,B,Asia
Italy,ITA,2023,0.5449673826588606,B,Europe
Jamaica,JAM,2023,0.5066272393118468,B,North America
Japan,JPN,2023,0.626842032858661,A+,Asia
Jordan,JOR,2023,0.5052305182062854,B,Asia
